device_name,manufacturer,network_type,scrb_type,scrb_type_name,plan_id,plan_name,plan_category,plan_monthly_fee,public_support_fee,additional_support_fee,total_support_fee,release_price,date,crawled_at
"갤럭시 S25 울트라
512G",삼성,5G,31,기기변경,NA00009121,5GX 프리미엄(유튜브 프리미엄),#5G 5GX플랜,109000,700000,105000,805000,1841400,2025.05.25,2025-06-08 22:48:07
"갤럭시 S25 울트라
256G",삼성,5G,31,기기변경,NA00009121,5GX 프리미엄(유튜브 프리미엄),#5G 5GX플랜,109000,700000,105000,805000,1698400,2025.05.25,2025-06-08 22:48:07
"갤럭시 S25+
256G",삼성,5G,31,기기변경,NA00009121,5GX 프리미엄(유튜브 프리미엄),#5G 5GX플랜,109000,700000,105000,805000,1353000,2025.05.25,2025-06-08 22:48:07
"갤럭시 S25
256G",삼성,5G,31,기기변경,NA00009121,5GX 프리미엄(유튜브 프리미엄),#5G 5GX플랜,109000,700000,105000,805000,1155000,2025.05.25,2025-06-08 22:48:07
"갤럭시 S25 울트라
1T",삼성,5G,31,기기변경,NA00009121,5GX 프리미엄(유튜브 프리미엄),#5G 5GX플랜,109000,700000,105000,805000,2127400,2025.05.25,2025-06-08 22:48:07
"갤럭시 S25
512G",삼성,5G,31,기기변경,NA00009121,5GX 프리미엄(유튜브 프리미엄),#5G 5GX플랜,109000,700000,105000,805000,1298000,2025.05.25,2025-06-08 22:48:07
"갤럭시 S25+
512G",삼성,5G,31,기기변경,NA00009121,5GX 프리미엄(유튜브 프리미엄),#5G 5GX플랜,109000,700000,105000,805000,1496000,2025.05.25,2025-06-08 22:48:08
"iPhone 16 Pro Max
512G",애플,5G,31,기기변경,NA00009121,5GX 프리미엄(유튜브 프리미엄),#5G 5GX플랜,109000,670000,100500,770500,2200000,2025.05.25,2025-06-08 22:48:09
"iPhone 16 Pro
1T",애플,5G,31,기기변경,NA00009121,5GX 프리미엄(유튜브 프리미엄),#5G 5GX플랜,109000,670000,100500,770500,2299000,2025.05.25,2025-06-08 22:48:09
"iPhone 16 Pro
512G",애플,5G,31,기기변경,NA00009121,5GX 프리미엄(유튜브 프리미엄),#5G 5GX플랜,109000,670000,100500,770500,1991000,2025.05.25,2025-06-08 22:48:09
"iPhone 16 Pro Max
256G",애플,5G,31,기기변경,NA00009121,5GX 프리미엄(유튜브 프리미엄),#5G 5GX플랜,109000,670000,100500,770500,1892000,2025.05.25,2025-06-08 22:48:09
"iPhone 16 Pro Max
1T",애플,5G,31,기기변경,NA00009121,5GX 프리미엄(유튜브 프리미엄),#5G 5GX플랜,109000,670000,100500,770500,2497000,2025.05.25,2025-06-08 22:48:10
"iPhone 16 Pro
256G",애플,5G,31,기기변경,NA00009121,5GX 프리미엄(유튜브 프리미엄),#5G 5GX플랜,109000,670000,100500,770500,1694000,2025.05.25,2025-06-08 22:48:10
"iPhone 16 Pro
128G",애플,5G,31,기기변경,NA00009121,5GX 프리미엄(유튜브 프리미엄),#5G 5GX플랜,109000,670000,100500,770500,1540000,2025.05.25,2025-06-08 22:48:11
"갤럭시 Z 플립6
256G",삼성,5G,31,기기변경,NA00009121,5GX 프리미엄(유튜브 프리미엄),#5G 5GX플랜,109000,600000,90000,690000,1485000,2024.10.25,2025-06-08 22:48:11
"갤럭시 Z 플립6
512G",삼성,5G,31,기기변경,NA00009121,5GX 프리미엄(유튜브 프리미엄),#5G 5GX플랜,109000,600000,90000,690000,1643400,2024.10.25,2025-06-08 22:48:11
